,index,distance,name,scheduleType,storeOpen,storeClose,storeNumber,isStoreOpen,address,amenities,orderingAvailable,isCurbsideDeliveryAvailable,fuelTypes,latitude,longitude,food,fuel,restrooms,diesel,ethanolFreeGas,open24Hours,teslaChargingStation,propane,chademoChargingStation,ccsChargingStation
961,1,12.98,923 west king street,24hours,00:00:00,00:00:00,5265,False,"{'address': '923 west king street', 'city': 'cocoa', 'state': 'FL', 'zip': '32922'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': True, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.355275,-80.7421975,True,True,True,True,False,True,False,True,False,False
962,2,14.19,435 e merritt island cswy,24hours,00:00:00,00:00:00,5446,False,"{'address': '435 e merritt island cswy', 'city': 'merritt island', 'state': 'FL', 'zip': '32952'}","{'food': True, 'fuel': True, 'restrooms': False, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': False, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.357117,-80.692075,True,True,True,True,False,True,True,True,False,False
963,3,18.93,2965 viera blvd,24hours,00:00:00,00:00:00,5369,False,"{'address': '2965 viera blvd', 'city': 'melbourne', 'state': 'FL', 'zip': '32940'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': False, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.26686,-80.736505,True,True,True,True,False,True,False,False,False,False
964,6,24.47,5605 wickham rd,24hours,00:00:00,00:00:00,5190,False,"{'address': '5605 wickham rd', 'city': 'palm shores', 'state': 'FL', 'zip': '32940'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.200933,-80.671985,True,True,True,True,False,True,False,True,False,False
965,19,29.26,4429 w. eau gallie blvd,24hours,00:00:00,00:00:00,5283,False,"{'address': '4429 w. eau gallie blvd', 'city': 'melbourne', 'state': 'FL', 'zip': '32934'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': True, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.12066,-80.700286,True,True,True,True,False,True,True,True,False,False
966,28,32.49,3175 w. new haven ave,24hours,00:00:00,00:00:00,5192,False,"{'address': '3175 w. new haven ave', 'city': 'west melbourne', 'state': 'FL', 'zip': '32904'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.078498,-80.673857,True,False,False,False,,True,False,False,False,False
967,31,33.34,1125 e irlo bronson memorial h,24hours,00:00:00,00:00:00,5123,False,"{'address': '1125 e irlo bronson memorial h', 'city': 'saint cloud', 'state': 'FL', 'zip': '34769-4744'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.24658,-81.25647,True,True,True,True,False,True,True,True,False,False
968,33,33.72,1105 palmetto ave,24hours,00:00:00,00:00:00,5316,False,"{'address': '1105 palmetto ave', 'city': 'melbourne', 'state': 'FL', 'zip': '32901'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.080789,-80.603308,True,True,False,True,False,True,False,True,False,False
969,42,35.78,895 palm bay road,24hours,00:00:00,00:00:00,5318,False,"{'address': '895 palm bay road', 'city': 'west melbourne', 'state': 'FL', 'zip': '32904'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.035986,-80.645968,True,True,False,True,False,True,False,False,False,False
970,49,37.03,2184 e irlo bronson memorial h,24hours,00:00:00,00:00:00,5102,False,"{'address': '2184 e irlo bronson memorial h', 'city': 'kissimmee', 'state': 'FL', 'zip': '34744-4415'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'AVG'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.285959,-81.355723,True,True,True,True,False,True,True,False,False,False
